Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745017532.76,0,0,27.6,3.2,4.4,5.2,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017537.75,0,0,28.2,4.0,5.0,6.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017542.73,0,0,29.4,4.0,5.0,6.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017547.74,0,0,29.4,3.0,5.0,6.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017552.7,0,0,29.4,3.0,5.0,6.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017557.73,0,0,29.4,3.8,5.0,6.2,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017562.7,0,0,29.4,3.8,5.0,6.2,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017567.73,0,0,29.4,4.0,5.6,7.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017572.71,0,0,29.4,4.0,5.6,7.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017577.73,0,0,29.4,4.0,6.0,7.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017582.73,0,0,33.6,4.0,6.0,7.0,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017587.75,0,0,34.2,4.0,6.0,6.8,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017592.73,0,0,32.6,4.0,6.0,6.8,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017597.73,0,0,32.6,2.8,4.8,5.4,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017602.7,0,0,32.6,2.8,4.8,5.4,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017607.73,0,0,32.6,2.8,4.8,4.8,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017612.7,0,0,32.6,2.8,4.8,4.8,20.436367187499997,50.5572597691744,1003.3914250989146,82.40460189235573,655586.4
1745017617.76,0,0,32.6,2.8,4.8,4.8,18.850078125,54.5547530846135,1003.0913546523483,84.9230551441817,718502.8
1745017622.77,0,0,32.6,2.8,4.8,4.8,18.9999609375,54.35984293210921,1003.0659893636797,85.13597116164269,718963.6
1745017627.73,0,0,32.6,2.8,4.8,4.8,19.143710937499996,54.26340966109173,1003.0355386475527,85.39157960503346,721716.8
1745017632.73,0,0,32.6,2.8,4.8,4.8,19.345937499999998,54.10610486355648,1003.0694179597652,85.10719105833641,720487.8
1745017637.76,0,0,26.6,2.8,4.8,4.8,19.5075,53.96563032991694,1003.0543403169238,85.23375397869924,722651.0
1745017642.76,0,0,29.0,2.8,4.8,4.8,19.689687499999998,53.73149872015232,1003.0557872009329,85.22160874179731,724655.0
1745017647.74,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017652.71,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017657.7,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017662.71,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017667.7,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017672.7,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017677.71,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017682.7,0,0,29.0,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017687.73,0,0,25.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017692.73,0,0,26.6,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017697.73,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017702.72,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017707.7,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017712.72,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017717.7,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017722.7,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017727.71,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017732.7,0,0,29.4,2.8,4.8,4.8,19.7923828125,53.12174195890533,1003.0619039903502,85.17026403138486,726527.8
1745017737.76,0,0,32.6,2.8,4.8,4.8,18.4545703125,53.79592489919939,1003.5577851739715,81.00862656550123,770073.8
1745017742.76,0,0,32.2,2.8,4.8,4.8,18.3886328125,54.3261235787942,1003.6040895678696,80.62010567560046,770680.6
1745017747.76,0,0,28.4,2.8,4.8,4.8,18.298320312500003,54.498074157686936,1003.6641975979362,80.11578763699342,774212.4
1745017752.77,0,0,28.4,2.8,4.8,4.8,18.31015625,54.86355672792181,1003.7375888906497,79.50005225497365,770681.8
1745017757.73,0,0,28.4,2.8,4.8,4.8,18.3815234375,55.07417133334833,1003.8069298946448,78.91833137312214,772609.6
1745017762.73,0,0,28.4,2.8,4.8,4.8,18.500156249999996,55.33789297294211,1003.8783005914431,78.3196152345673,770066.6
1745017767.73,0,0,28.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017772.72,0,0,28.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017777.7,0,0,28.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017782.7,0,0,28.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017787.72,0,0,28.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017792.72,0,0,29.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017797.73,0,0,31.0,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017802.73,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017807.7,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017812.71,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017817.71,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017822.7,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017827.7,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017832.7,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017837.7,0,0,33.6,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017842.75,0,0,29.8,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017847.74,0,0,32.4,2.8,4.8,4.8,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017852.76,0,0,31.4,3.6,4.6,4.6,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017857.71,0,0,31.4,3.6,4.6,4.6,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017862.76,0,0,31.4,3.0,4.2,4.2,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017867.72,0,0,31.4,3.0,4.2,4.2,18.614375,55.30608586376934,1003.8891139251367,78.22890774407361,772259.0
1745017872.79,0,0,31.4,3.6,5.0,5.0,19.4030078125,52.62343858493193,1004.4018335963119,73.92885610538562,802064.6
1745017877.75,0,0,31.4,3.6,5.0,5.0,19.3039453125,52.7043121326288,1004.4875429507483,73.21020330956311,806646.0
1745017882.78,0,0,31.4,4.0,5.0,5.0,19.133984375,52.700944680271185,1004.5248826030972,72.89713748000504,808288.6
1745017887.73,0,0,31.4,4.0,5.0,5.0,19.0677734375,52.85773752828354,1004.5372735254808,72.79325583780485,809828.8
1745017892.76,0,0,31.4,4.0,5.0,5.0,19.127812500000005,53.13763432210264,1004.6761239388128,71.62918355754447,808479.8
1745017897.76,0,0,34.0,4.0,5.0,5.0,19.3283984375,53.38728122662396,1004.6784644442647,71.61037078023871,810219.0
1745017902.8,0,0,32.2,4.0,5.0,5.0,19.749687499999997,52.91192025903506,1004.6880172790388,71.53051237351113,810895.0
1745017907.79,0,0,36.0,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017912.73,0,0,36.0,4.4,6.0,6.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017917.7,0,0,36.0,4.4,6.0,6.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017922.73,0,0,36.0,5.0,6.0,6.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017927.7,0,0,36.0,5.0,6.0,6.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017932.73,0,0,36.0,4.4,5.4,5.4,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017937.71,0,0,36.0,4.4,5.4,5.4,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017942.73,0,0,36.0,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017947.76,0,0,29.4,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017952.77,0,0,32.0,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017957.73,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017962.71,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017967.72,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017972.7,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017977.71,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017982.7,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017987.7,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017992.7,0,0,33.8,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745017997.74,0,0,32.2,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745018002.73,0,0,31.2,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745018007.73,0,0,30.6,4.0,5.0,5.0,20.179765625,52.098016858064796,1004.6462197081543,71.87987937826746,808956.0
1745018012.75,0,0,30.6,4.0,5.0,5.0,21.0460546875,50.216621213722156,1005.0369733692785,68.60465685113539,744037.2
1745018017.76,0,0,30.6,4.0,5.0,5.0,21.439804687499997,49.632944277637456,1004.7895590960472,70.681864595779,755656.2
1745018022.73,0,0,30.6,4.0,5.0,5.0,21.682539062500002,48.97114873805469,1010.9844643652362,18.88052130439321,760059.2
1745018027.74,0,0,30.6,4.0,5.0,5.0,21.8284375,48.1311047866627,1009.5313483997306,31.015833014793714,768496.6
1745018032.79,0,0,30.6,4.0,5.0,5.0,21.883945312500003,50.17939084314246,1007.7277196316902,46.079215369584965,776420.2
1745018037.74,0,0,30.6,4.0,5.0,5.0,21.846874999999997,47.02579988497986,1006.4991359075364,56.35816864159718,780089.4
1745018042.74,0,0,30.6,4.0,5.0,5.0,21.2690625,46.885375086605116,1005.9824278064416,60.68400244054775,784722.8
1745018047.73,0,0,30.6,4.0,5.0,5.0,20.846328125000003,47.33172266551442,1006.2015263402252,58.84962032460329,785349.6
1745018052.81,0,0,28.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018057.73,0,0,31.6,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
