Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-21 16:27:16,34.7798046875,76256,100,796.7189741665525,1982.4556093898398,1,3,3,1,3,3,450,118,20,1,0,0
2025-02-21 16:27:16,24.4977734375,26330,38.850284680867205,1009.8628587910118,28.238508356969103,1,3,3,1,3,3,450,118,20,1,0,0
2025-02-21 16:27:17,24.744453125,44404,38.93562020304988,1009.885982293816,28.045468503207484,1,3,3,1,3,3,450,118,20,1,0,0
2025-02-21 16:27:18,24.71515625,56349,38.777890811025166,1009.9048619911346,27.887859482107462,2,2,2,2,2,2,480,128,20,0,0,0
2025-02-21 16:27:19,24.675703125,67798,38.643031825003675,1009.9172925819638,27.784089351242066,2,2,2,2,2,2,480,128,20,0,0,0
2025-02-21 16:27:20,24.6364453125,76534,38.50832498241998,1009.926584542982,27.706521066061523,2,2,2,2,2,2,480,128,20,0,0,0
2025-02-21 16:27:21,24.619453125,84232,38.41756890397256,1009.9278207343627,27.69620151772368,2,2,2,2,2,2,507,135,19,0,0,0
2025-02-21 16:27:21,24.6118359375,90709,38.29820546668084,1009.9342091810331,27.64287184423612,2,2,2,2,2,2,507,135,19,0,0,0
2025-02-21 16:27:22,24.5971875,94313,38.2018983498307,1009.9375950519104,27.61460727693193,2,2,2,2,2,2,507,135,19,0,0,0
2025-02-21 16:27:23,24.5985546875,99821,38.10730469379714,1009.9433105687501,27.56689546900151,2,2,2,2,2,2,465,125,17,0,0,0
2025-02-21 16:27:24,24.604609375,103908,38.03099748902758,1009.9446967821546,27.555323714200405,2,2,2,2,2,2,465,125,17,0,0,0
2025-02-21 16:27:25,24.600703125,106688,37.941876396145624,1009.9468657466925,27.537217779028545,2,2,2,2,2,2,465,125,17,0,0,0
2025-02-21 16:27:26,24.6091015625,110197,37.907264492891066,1009.9573100931459,27.450031612395673,2,2,2,2,2,2,450,121,16,0,0,0
2025-02-21 16:27:27,24.61984375,114256,37.866989293011926,1009.9526398732377,27.489017070266303,2,2,2,2,2,2,450,121,16,0,0,0
2025-02-21 16:27:27,24.6184765625,116481,37.83139140376394,1009.9572840193199,27.450249267703477,2,2,2,2,2,2,450,121,16,0,0,0
2025-02-21 16:27:28,24.6274609375,119217,37.80867745890583,1009.9617911119581,27.41262568018223,2,2,2,2,2,2,453,124,19,0,0,0
2025-02-21 16:27:29,24.63703125,122531,37.76239833871901,1009.965540866498,27.38132418218968,2,2,2,2,2,2,453,124,19,0,0,0
2025-02-21 16:27:30,24.6313671875,124074,37.71457434443576,1009.9596216784624,27.43073531338946,2,2,2,2,2,2,453,124,19,0,0,0
2025-02-21 16:27:31,24.63546875,126320,37.66776291230719,1009.9629553459583,27.40290709577761,1,2,2,1,2,2,468,119,17,0,0,0
2025-02-21 16:27:32,24.6415234375,128945,37.60936208221957,1009.9660675053148,27.376928012938293,1,2,2,1,2,2,468,119,17,0,0,0
2025-02-21 16:27:33,24.6364453125,130249,37.5380514459106,1009.957664609806,27.447072230018687,1,2,2,1,2,2,468,119,17,0,0,0
2025-02-21 16:27:33,24.6411328125,132411,37.479558657648084,1009.955061024538,27.468806078282235,1,2,2,1,2,2,474,124,20,0,0,0
2025-02-21 16:27:34,24.6471875,133679,37.42711965204133,1009.9564462833523,27.457242401092692,1,2,2,1,2,2,474,124,20,0,0,0
2025-02-21 16:27:35,24.640546875,135737,37.35573442126595,1009.945458059998,27.548968767030065,1,2,2,1,2,2,474,124,20,0,0,0
2025-02-21 16:27:36,24.64484375,136512,37.314936768464015,1009.9387545406961,27.604928116006914,1,2,2,1,2,2,435,114,17,0,0,0
2025-02-21 16:27:37,24.6497265625,139120,37.2742085789789,1009.9382004929814,27.609553185052253,1,2,2,1,2,2,435,114,17,0,0,0
2025-02-21 16:27:38,24.642109375,138430,37.2381126030447,1009.9290499849209,27.68593992052039,1,2,2,1,2,2,435,114,17,0,0,0
2025-02-21 16:27:39,24.638984375,141589,37.20836549472641,1009.9256058340751,27.71469119488917,1,2,2,1,2,2,414,107,17,0,0,0
2025-02-21 16:27:40,24.6321484375,142311,37.17824945593222,1009.924654600646,27.722631968313863,1,2,2,1,2,2,414,107,17,0,0,0
2025-02-21 16:27:40,24.61125,143777,37.10554444075056,1009.9177001875332,27.780686691930477,1,2,2,1,2,2,414,107,17,0,0,0
