Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:07:38,33.1438671875,38601,100,702.877453836745,2980.424988956585,5,8,8,5,8,8,1173,334,57,3,0,0
2025-02-28 16:07:38,33.1438671875,38601,100,702.877453836745,2980.424988956585,6,9,9,6,9,9,1173,334,57,3,0,0
2025-02-28 16:07:39,25.6059765625,13591,43.72726576014819,1002.1829513752725,92.55088907239991,7,10,10,7,10,10,1185,340,63,4,0,0
2025-02-28 16:07:40,25.5794140625,22706,43.651220745236905,1002.2075803840319,92.34400623394014,7,10,10,7,10,10,1185,340,63,4,0,0
2025-02-28 16:07:41,25.567109375,31538,43.534336508513164,1002.2179208780309,92.25714766196911,6,9,9,6,9,9,1185,340,63,4,0,0
2025-02-28 16:07:41,25.5790234375,39174,43.48712132408108,1002.2281858227358,92.17092441024029,6,8,8,6,8,8,1161,336,60,3,0,0
2025-02-28 16:07:42,25.596015625,45457,43.458719567885616,1002.2377494555662,92.090592665663,6,8,8,6,8,8,1161,336,60,3,0,0
2025-02-28 16:07:43,25.603828125,50397,43.380699164891595,1002.2449732475311,92.02991531782907,6,8,8,6,8,8,1161,336,60,3,0,0
2025-02-28 16:07:44,25.6255078125,55032,43.316443861804785,1002.2496686548251,91.99047571446076,6,8,9,6,8,9,1167,340,60,4,1,0
2025-02-28 16:07:45,25.6458203125,58749,43.282381128037315,1002.246860723877,92.01406122930543,6,8,9,6,8,9,1167,340,60,4,1,0
2025-02-28 16:07:46,25.653046875,62352,43.252883465521236,1002.2460654400751,92.02074130996408,6,8,9,6,8,9,1167,340,60,4,1,0
2025-02-28 16:07:47,25.6712109375,65600,43.21251959586041,1002.2468871562866,92.01383920721764,7,9,10,7,9,10,1179,347,64,4,1,0
2025-02-28 16:07:47,25.6915234375,68254,43.19666328759905,1002.2529230321411,91.96314029277278,7,9,10,7,9,10,1179,347,64,4,1,0
2025-02-28 16:07:48,25.701484375,70832,43.161429665857916,1002.2512029737751,91.97758806174667,7,9,10,7,9,10,1179,347,64,4,1,0
2025-02-28 16:07:49,25.7208203125,73293,43.15758883122773,1002.2556702412251,91.94006493013215,6,8,8,6,8,8,1164,340,59,3,1,0
2025-02-28 16:07:50,25.73859375,75931,43.14750619377949,1002.2558603250066,91.93846831085665,6,8,8,6,8,8,1164,340,59,3,1,0
