PM2.5 Sensor Data Log - Captured Readings with Timestamps
Timestamp,PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-14 15:18:24,1,1,1,1,1,1,270,74,19,1,0,0
2025-02-14 15:18:25,1,2,2,1,2,2,315,85,21,1,0,0
2025-02-14 15:18:26,1,2,2,1,2,2,315,85,21,1,0,0
2025-02-14 15:18:27,1,2,2,1,2,2,315,85,21,1,0,0
2025-02-14 15:18:28,1,2,2,1,2,2,315,86,20,0,0,0
2025-02-14 15:18:29,1,2,2,1,2,2,315,86,20,0,0,0
2025-02-14 15:18:30,1,2,2,1,2,2,315,86,20,0,0,0
2025-02-14 15:18:31,1,2,2,1,2,2,303,86,23,1,0,0
2025-02-14 15:18:32,1,2,2,1,2,2,303,86,23,1,0,0
2025-02-14 15:18:33,1,2,2,1,2,2,303,86,23,1,0,0
2025-02-14 15:18:34,1,2,2,1,2,2,333,96,20,1,0,0
2025-02-14 15:18:35,1,2,2,1,2,2,333,96,20,1,0,0
2025-02-14 15:18:36,1,2,2,1,2,2,333,96,20,1,0,0
2025-02-14 15:18:37,1,2,2,1,2,2,330,98,20,1,0,0
2025-02-14 15:18:38,1,2,2,1,2,2,330,98,20,1,0,0
2025-02-14 15:18:39,1,2,2,1,2,2,330,98,20,1,0,0
2025-02-14 15:18:40,1,2,2,1,2,2,330,96,20,1,0,0
2025-02-14 15:18:41,1,2,2,1,2,2,330,96,20,1,0,0
2025-02-14 15:18:42,1,2,2,1,2,2,330,96,20,1,0,0
2025-02-14 15:18:43,1,2,2,1,2,2,306,88,19,1,0,0
2025-02-14 15:18:44,1,2,2,1,2,2,306,88,19,1,0,0
2025-02-14 15:18:45,1,2,2,1,2,2,306,88,19,1,0,0
2025-02-14 15:18:46,1,2,2,1,2,2,324,93,20,2,0,0
2025-02-14 15:18:47,1,2,2,1,2,2,324,93,20,2,0,0
2025-02-14 15:18:48,1,2,2,1,2,2,324,93,20,2,0,0
2025-02-14 15:18:49,1,2,2,1,2,2,309,90,15,2,0,0
2025-02-14 15:18:50,1,2,2,1,2,2,309,90,15,2,0,0
2025-02-14 15:18:51,1,2,2,1,2,2,309,90,15,2,0,0
2025-02-14 15:18:52,1,2,2,1,2,2,297,88,15,3,1,0
2025-02-14 15:18:53,1,2,2,1,2,2,297,88,15,3,1,0
2025-02-14 15:18:54,1,2,2,1,2,2,297,88,15,3,1,0
2025-02-14 15:18:55,0,2,2,0,2,2,252,77,12,3,1,0
2025-02-14 15:18:56,0,2,2,0,2,2,252,77,12,3,1,0
2025-02-14 15:18:57,0,2,2,0,2,2,252,77,12,3,1,0
2025-02-14 15:18:58,0,2,2,0,2,2,264,79,15,4,1,0
2025-02-14 15:18:59,0,2,2,0,2,2,264,79,15,4,1,0
2025-02-14 15:19:00,0,2,2,0,2,2,264,79,15,4,1,0
2025-02-14 15:19:01,1,2,2,1,2,2,279,83,12,3,1,0
2025-02-14 15:19:02,1,2,2,1,2,2,279,83,12,3,1,0
2025-02-14 15:19:03,1,2,2,1,2,2,279,83,12,3,1,0
2025-02-14 15:19:04,1,2,2,1,2,2,258,78,15,4,1,0
2025-02-14 15:19:05,0,1,1,0,1,1,258,78,15,4,1,0
2025-02-14 15:19:06,0,1,1,0,1,1,258,78,15,4,1,0
2025-02-14 15:19:07,0,1,2,0,1,2,297,91,18,5,1,0
2025-02-14 15:19:08,0,1,2,0,1,2,297,91,18,5,1,0
2025-02-14 15:19:09,0,1,2,0,1,2,297,91,18,5,1,0
2025-02-14 15:19:10,0,1,2,0,1,2,300,93,19,5,1,0
2025-02-14 15:19:11,0,1,2,0,1,2,300,93,19,5,1,0
2025-02-14 15:19:12,1,2,3,1,2,3,300,93,19,5,1,0
2025-02-14 15:19:13,1,2,3,1,2,3,333,103,19,5,1,0
2025-02-14 15:19:14,1,2,3,1,2,3,333,103,19,5,1,0
2025-02-14 15:19:15,1,2,3,1,2,3,333,103,19,5,1,0
2025-02-14 15:19:16,1,2,3,1,2,3,315,98,19,4,1,0
2025-02-14 15:19:17,1,2,3,1,2,3,315,98,19,4,1,0
2025-02-14 15:19:18,1,2,3,1,2,3,315,98,19,4,1,0
2025-02-14 15:19:19,0,1,2,0,1,2,309,96,19,4,1,0
2025-02-14 15:19:20,0,1,2,0,1,2,309,96,19,4,1,0
2025-02-14 15:19:21,0,1,2,0,1,2,309,96,19,4,1,0
2025-02-14 15:19:22,0,1,2,0,1,2,396,106,17,3,0,0
2025-02-14 15:19:23,0,1,2,0,1,2,396,106,17,3,0,0
